origen,h,objetivo,modelo,pronostico,real,p025,p10,p90,p975
2015-12,12,2016-12,encuesta,3.45000,3.23488,3.52484,3.65990,4.63873,5.04647
2016-01,12,2017-01,encuesta,3.44458,3.09636,3.52101,3.66270,4.79366,5.36515
2016-02,12,2017-02,encuesta,3.43333,3.24979,3.51135,3.65967,5.05608,5.45613
2016-03,12,2017-03,encuesta,3.35000,3.97485,3.42961,3.58455,5.02232,5.36952
2016-04,12,2017-04,encuesta,3.28333,3.69472,3.36453,3.52610,4.93472,5.29959
2016-05,12,2017-05,encuesta,3.24167,3.03980,3.32446,3.49265,4.87212,5.25465
2016-06,12,2017-06,encuesta,3.16250,2.73244,3.24688,3.42170,4.77202,5.17222
2016-07,12,2017-07,encuesta,3.01458,2.85207,3.02544,3.19983,4.60316,5.02103
2016-08,12,2017-08,encuesta,2.76667,3.17381,2.66842,2.87688,4.34115,4.76985
2016-09,12,2017-09,encuesta,2.66250,2.94500,2.46519,2.71348,4.22288,4.66241
2016-10,12,2017-10,encuesta,2.71000,2.04014,2.51351,2.75837,4.25628,4.70664
2016-11,12,2017-11,encuesta,2.90833,1.54434,2.71265,2.95281,4.44051,4.90170
2016-12,12,2017-12,encuesta,2.90000,1.36486,2.68386,2.88344,4.41807,4.89010
2017-01,12,2018-01,encuesta,2.90208,1.25319,2.66627,2.78294,4.40606,4.88892
2017-02,12,2018-02,encuesta,2.90833,1.17956,2.67564,2.72261,4.39820,4.89190
2017-03,12,2018-03,encuesta,2.98750,0.36314,2.75793,2.80251,4.46327,4.96780
2017-04,12,2018-04,encuesta,3.06667,0.48487,2.84022,2.88240,4.52834,5.04369
2017-05,12,2018-05,encuesta,2.95458,0.93069,2.73125,2.76378,4.40215,4.92834
2017-06,12,2018-06,encuesta,2.88750,1.42933,2.54240,2.68674,4.31044,4.85686
2017-07,12,2018-07,encuesta,2.78542,1.61610,2.44344,2.58577,4.18374,4.75038
2017-08,12,2018-08,encuesta,2.73333,1.07058,2.39448,2.53479,4.10703,4.69390
2017-09,12,2018-09,encuesta,2.80625,1.28028,2.47052,2.60881,4.15532,4.76242
2017-10,12,2018-10,encuesta,2.66250,1.84089,2.24267,2.45401,3.98695,4.61428
2017-11,12,2018-11,encuesta,2.47500,2.16710,1.84111,2.25660,3.77482,4.42238
2017-12,12,2018-12,encuesta,2.30000,2.19252,1.05748,2.03920,3.57520,4.24299
2018-01,12,2019-01,encuesta,2.22500,2.12916,0.72409,1.86041,3.47558,4.16359
2018-02,12,2019-02,encuesta,2.18750,2.00339,0.56420,1.73346,3.41345,4.12170
2018-03,12,2019-03,encuesta,2.18125,2.24744,0.47245,1.51139,3.38258,4.11105
2018-04,12,2019-04,encuesta,2.16667,2.59265,-0.18055,0.87209,3.36380,4.09207
2018-05,12,2019-05,encuesta,2.21667,2.72513,-0.19776,0.71575,3.40960,4.13768
2018-06,12,2019-06,encuesta,2.27500,2.29478,-0.12548,0.76295,3.46373,4.19161
2018-07,12,2019-07,encuesta,2.32896,2.11191,-0.05757,0.82461,3.51349,4.24118
2018-08,12,2019-08,encuesta,2.39167,2.03972,0.01909,0.79965,3.57200,4.29949
2018-09,12,2019-09,encuesta,2.43750,1.85101,0.07887,0.85686,3.61364,4.34093
2018-10,12,2019-10,encuesta,2.43833,1.88056,0.09365,0.86906,3.61027,4.33736
2018-11,12,2019-11,encuesta,2.47500,1.86680,0.14426,0.91711,3.64274,4.36963
2018-12,12,2019-12,encuesta,2.50000,1.90009,0.18321,0.95348,3.66354,4.39024
2019-01,12,2020-01,encuesta,2.47708,1.88836,0.17424,0.94194,3.63642,4.36293
2019-02,12,2020-02,encuesta,2.40000,1.90404,0.11110,0.86577,3.55886,4.28145
2019-03,12,2020-03,encuesta,2.33000,1.82153,0.05505,0.79669,3.48838,4.20705
2019-04,12,2020-04,encuesta,2.38000,1.72449,0.11900,0.84761,3.53790,4.25266
2019-05,12,2020-05,encuesta,2.47083,1.78192,0.22378,0.93936,3.62826,4.33909
2019-06,12,2020-06,encuesta,2.47500,1.59873,0.24189,0.94444,3.63195,4.33886
2019-07,12,2020-07,encuesta,2.32292,1.86170,0.10376,0.79328,3.47939,4.18239
2019-08,12,2020-08,encuesta,2.30000,1.68740,0.09479,0.77128,3.45599,4.15507
2019-09,12,2020-09,encuesta,2.21250,1.81955,0.02124,0.68470,3.36801,4.06318
2019-10,12,2020-10,encuesta,2.22917,1.72400,0.05185,0.70228,3.38420,4.07545
2019-11,12,2020-11,encuesta,2.18333,2.14221,0.01997,0.65736,3.33789,4.02522
2019-12,12,2020-12,encuesta,2.22500,1.97323,0.07558,0.70581,3.37175,4.06249
2020-01,12,2021-01,encuesta,2.04583,2.67555,-0.08964,0.53342,3.18477,3.87893
2020-02,12,2021-02,encuesta,2.02500,2.40134,-0.09652,0.51937,3.15613,3.85370
2020-03,12,2021-03,encuesta,2.01875,2.59818,-0.08883,0.51990,3.14207,3.84305
2020-04,12,2021-04,encuesta,1.50833,2.38370,-0.58530,0.01627,2.62385,3.32824
2020-05,12,2021-05,encuesta,1.52083,2.44746,-0.55885,0.03555,2.62854,3.33634
2020-06,12,2021-06,encuesta,1.40000,3.25461,-0.66573,-0.07851,2.49990,3.21112
2020-07,12,2021-07,encuesta,1.45833,3.81460,-0.59345,-0.01339,2.55043,3.26505
2020-08,12,2021-08,encuesta,1.56667,4.95280,-0.47117,0.10172,2.65095,3.36899
2020-09,12,2021-09,encuesta,1.49375,5.22957,-0.53014,0.03558,2.57023,3.29168
2020-10,12,2021-10,encuesta,1.61667,5.82601,-0.39985,0.16792,2.69288,3.40936
2020-11,12,2021-11,encuesta,1.68333,5.65515,-0.32580,0.24400,2.75929,3.47079
2020-12,12,2021-12,encuesta,1.84750,6.43039,-0.15426,0.41759,2.92320,3.62973
2021-01,12,2022-01,encuesta,1.97708,5.68492,-0.01730,0.55659,3.05252,3.75408
2021-02,12,2022-02,encuesta,2.10833,6.14704,0.12133,0.69725,3.18351,3.88009
2021-03,12,2022-03,encuesta,2.17188,6.82409,0.19225,0.77021,3.24679,3.93840
2021-04,12,2022-04,encuesta,2.30000,7.96465,0.32776,0.90775,3.37466,4.06129
2021-05,12,2022-05,encuesta,2.42708,8.09114,0.46222,1.04425,3.50148,4.18314
2021-06,12,2022-06,encuesta,2.60000,8.81263,0.64251,1.22659,3.68428,4.44185
2021-07,12,2022-07,encuesta,3.02500,8.74084,1.07489,1.66101,4.17956,4.96897
2021-08,12,2022-08,encuesta,3.07333,8.39799,1.13060,1.72881,4.23219,5.14189
2021-09,12,2022-09,encuesta,3.63750,8.52985,1.70215,2.31244,4.83043,5.91824
2021-10,12,2022-10,encuesta,3.61333,8.27520,1.68536,2.30774,4.98703,6.66476
2021-11,12,2022-11,encuesta,3.71250,8.44723,1.79190,2.42638,5.24468,7.32593
2021-12,12,2022-12,encuesta,3.67500,8.45916,1.76178,2.40834,5.36825,7.55832
2022-01,12,2023-01,encuesta,3.72708,8.66427,1.82124,2.47990,5.54768,7.60450
2022-02,12,2023-02,encuesta,3.75000,8.64592,1.85154,2.52228,5.64035,7.76028
2022-03,12,2023-03,encuesta,4.38750,8.40057,2.49641,3.17925,6.38741,8.52006
2022-04,12,2023-04,encuesta,4.61667,7.96505,2.73296,3.42788,6.74636,9.02212
2022-05,12,2023-05,encuesta,4.88542,7.89389,3.00909,3.71610,7.24168,9.50297
2022-06,12,2023-06,encuesta,5.35000,6.46150,3.48105,4.20999,8.63315,10.48284
2022-07,12,2023-07,encuesta,5.15625,5.88160,3.29467,4.04554,8.79974,10.82057
2022-08,12,2023-08,encuesta,5.10000,5.57615,3.24580,4.01860,8.82743,10.76431
2022-09,12,2023-09,encuesta,4.89375,5.04455,3.04693,3.84165,8.77117,10.55804
2022-10,12,2023-10,encuesta,4.78125,4.34308,2.94181,3.75846,8.78651,10.44553
2022-11,12,2023-11,encuesta,4.68333,3.63647,2.85127,3.68985,8.79030,10.34760
2022-12,12,2023-12,encuesta,4.30000,3.23738,2.47531,3.33582,8.62141,9.96425
2023-01,12,2024-01,encuesta,4.62292,3.02392,2.80561,3.68804,9.21967,10.28715
2023-02,12,2024-02,encuesta,4.29167,3.29407,2.48174,3.38609,8.94485,9.95589
2023-03,12,2024-03,encuesta,4.30000,3.04505,2.49745,3.42373,8.95221,9.96421
2023-04,12,2024-04,encuesta,4.25000,2.42208,2.45483,3.37920,8.89528,9.91419
2023-05,12,2024-05,encuesta,4.21250,2.00494,2.42470,3.34716,8.85085,9.87668
2023-06,12,2024-06,encuesta,3.82500,2.28538,2.04458,2.96513,8.45642,9.48916
2023-07,12,2024-07,encuesta,3.57292,2.12766,1.79988,2.71851,8.19740,9.23706
2023-08,12,2024-08,encuesta,3.35833,2.03410,1.59267,2.50940,7.97588,9.02246
2023-09,12,2024-09,encuesta,3.37812,1.77501,1.61984,2.53465,7.98874,9.04224
2023-10,12,2024-10,encuesta,3.32917,2.00918,1.57826,2.49116,7.93285,8.99327
2023-11,12,2024-11,encuesta,3.14583,2.27199,1.40231,2.23545,7.74259,8.80992
2023-12,12,2024-12,encuesta,2.82500,1.96630,1.08885,1.77657,7.41482,8.48907
2024-01,12,2025-01,encuesta,2.63750,1.85158,0.90873,1.57488,7.22039,8.30156
2024-02,12,2025-02,encuesta,2.64583,1.47733,0.91871,1.58479,7.19137,8.30140
2024-03,12,2025-03,encuesta,2.55625,1.27718,0.83078,1.40827,7.06443,8.20334
2024-04,12,2025-04,encuesta,2.61667,1.65183,0.79618,1.38740,7.08749,8.25527
2024-05,12,2025-05,encuesta,2.55833,1.68666,0.55404,1.23795,6.99180,8.18845
2024-06,12,2025-06,encuesta,2.52500,1.69371,0.52561,1.11392,6.92112,8.14663
2024-07,12,2025-07,encuesta,2.48542,1.68880,0.49092,1.03500,6.84418,8.09856
2024-08,12,2025-08,encuesta,2.44167,1.10633,0.45207,0.99254,6.76307,8.04633
2024-09,12,2025-09,encuesta,2.42500,1.35839,0.44030,0.95327,6.70905,8.02118
2024-10,12,2025-10,encuesta,2.45417,1.35177,0.47437,0.98922,6.70086,8.04186
2024-11,12,2025-11,encuesta,2.44583,1.36861,0.47093,0.98767,6.65518,8.02504
2024-12,12,2025-12,encuesta,2.45000,1.50880,0.48000,0.99313,6.64228,8.02072
2025-01,12,2026-01,encuesta,2.36979,1.70092,0.40469,0.91421,6.54501,7.93203
2025-02,12,2026-02,encuesta,2.27500,2.21417,0.31480,0.82071,6.43315,7.82875
2025-03,12,2026-03,encuesta,2.27500,3.80455,0.31970,0.82200,6.41609,7.82027
2025-04,12,2026-04,encuesta,2.28750,4.01414,0.33710,0.83579,6.41153,7.82428
2025-05,12,2026-05,encuesta,2.26667,3.90505,0.32116,0.81625,6.37363,7.79496
2025-06,12,2026-06,encuesta,2.27500,4.00891,0.33440,0.82587,6.36490,7.79481
2025-07,12,2026-07,encuesta,2.19167,4.06515,0.25596,0.74383,6.26450,7.70299
2025-08,12,2026-08,encuesta,2.18333,4.43781,0.25253,0.73679,6.23911,7.68617
2025-09,12,2026-09,encuesta,2.16250,,0.23659,0.71725,6.20121,7.65686
2025-10,12,2026-10,encuesta,2.19167,,0.27066,0.75454,6.22781,7.67754
2025-11,12,2026-11,encuesta,2.16250,,0.24639,0.73350,6.19608,7.63989
2025-12,12,2026-12,encuesta,2.12500,,0.21379,0.70412,6.15602,7.59390
2026-01,12,2027-01,encuesta,2.02500,,0.11869,0.61225,6.05346,7.48542
2026-02,12,2027-02,encuesta,2.13750,,0.23609,0.73288,6.16339,7.58943
2026-03,12,2027-03,encuesta,2.51875,,0.62224,1.12225,6.54208,7.96220
2026-04,12,2027-04,encuesta,2.81667,,0.92505,1.42829,6.83743,8.25163
2026-05,12,2027-05,encuesta,2.89167,,1.00495,1.51142,6.90987,8.31814
2026-06,12,2027-06,encuesta,2.82500,,0.94319,1.45288,6.84064,8.24299
2026-07,12,2027-07,encuesta,3.00875,,1.13183,1.64476,7.02182,8.41826
2026-08,12,2027-08,encuesta,3.05000,,1.17798,1.68887,7.05895,8.45102
2015-01,1,2015-02,ensamble,2.68651,2.76858,2.34771,2.40365,3.00137,3.14073
2015-02,1,2015-03,ensamble,2.73893,3.02020,2.40024,2.46144,3.05188,3.18813
2015-03,1,2015-04,ensamble,2.91939,3.01741,2.58081,2.64726,3.23042,3.36358
2015-04,1,2015-05,ensamble,2.97261,3.36620,2.63414,2.70586,3.28173,3.41179
2015-05,1,2015-06,ensamble,3.52380,3.54491,3.18544,3.26241,3.85891,3.97460
2015-06,1,2015-07,ensamble,3.47059,3.56292,3.13234,3.21457,3.80087,3.91699
2015-07,1,2015-08,ensamble,3.95131,4.04267,3.61316,3.70065,4.27675,4.39331
2015-08,1,2015-09,ensamble,4.17834,3.90456,3.84030,3.93305,4.49895,4.61593
2015-09,1,2015-10,ensamble,3.64698,3.66020,3.30906,3.37605,3.96568,4.08018
2015-10,1,2015-11,ensamble,3.83917,4.17257,3.50135,3.57108,4.15595,4.26796
2015-11,1,2015-12,ensamble,4.20176,4.39793,3.86406,3.93653,4.53133,4.62616
2015-12,1,2016-01,ensamble,4.48550,4.60869,4.14790,4.22311,4.81378,4.90549
2016-01,1,2016-02,ensamble,4.63977,4.47376,4.30228,4.38023,4.96678,5.05537
2016-02,1,2016-03,ensamble,4.25915,4.30108,3.92177,4.00246,4.58488,4.67034
2016-03,1,2016-04,ensamble,4.19753,3.90721,3.86026,3.94369,4.52197,4.60432
2016-04,1,2016-05,ensamble,3.44992,3.54062,3.11276,3.17283,3.77309,3.85231
2016-05,1,2016-06,ensamble,3.38837,3.34162,3.05132,3.11293,3.71026,3.78636
2016-06,1,2016-07,ensamble,3.14045,2.96196,2.80351,2.86667,3.46107,3.53404
2016-07,1,2016-08,ensamble,2.70598,2.94253,2.36999,2.43505,3.02468,3.09896
2016-08,1,2016-09,ensamble,3.11077,3.12667,2.77573,2.84269,3.42755,3.50313
2016-09,1,2016-10,ensamble,3.09864,3.40529,2.76455,2.83340,3.41350,3.49038
2016-10,1,2016-11,ensamble,3.17195,3.34963,2.83880,2.90956,3.48697,3.56307
2016-11,1,2016-12,ensamble,3.18579,3.23488,2.85360,2.92626,3.49942,3.57630
2016-12,1,2017-01,ensamble,3.10376,3.09636,2.77252,2.84708,3.41600,3.49366
2017-01,1,2017-02,ensamble,3.22955,3.24979,2.89926,2.97571,3.54039,3.61883
2017-02,1,2017-03,ensamble,3.21368,3.97485,2.88433,2.96269,3.52312,3.60234
2017-03,1,2017-04,ensamble,4.41366,3.69472,4.08527,4.16552,4.73555,4.94367
2017-04,1,2017-05,ensamble,3.59061,3.03980,3.25039,3.31683,3.91122,4.11622
2017-05,1,2017-06,ensamble,2.99813,2.73244,2.50493,2.70947,3.31734,3.51934
2017-06,1,2017-07,ensamble,2.84599,2.85207,2.35803,2.55898,3.16380,3.36280
2017-07,1,2017-08,ensamble,2.65511,3.17381,2.17240,2.36976,2.97154,3.16753
2017-08,1,2017-09,ensamble,3.25231,2.94500,2.77483,2.96861,3.58059,3.80410
2017-09,1,2017-10,ensamble,2.66562,2.04014,2.19338,2.37099,2.99263,3.21615
2017-10,1,2017-11,ensamble,1.73417,1.54434,1.13856,1.43187,2.05990,2.28342
2017-11,1,2017-12,ensamble,1.39508,1.36486,0.80134,1.09362,1.71953,1.94306
2017-12,1,2018-01,ensamble,1.29720,1.25319,0.70533,0.99658,1.62037,1.84390
2018-01,1,2018-02,ensamble,1.17580,1.17956,0.58579,0.87601,1.49769,1.72123
2018-02,1,2018-03,ensamble,0.45494,0.36314,-0.13320,0.15599,0.77555,0.99910
2018-03,1,2018-04,ensamble,0.86644,0.48487,0.28016,0.56835,1.18565,1.40932
2018-04,1,2018-05,ensamble,1.01631,0.93069,0.43190,0.71067,1.33413,1.55792
2018-05,1,2018-06,ensamble,1.26233,1.42933,0.67978,0.95752,1.57875,1.80266
2018-06,1,2018-07,ensamble,1.56301,1.61610,0.98234,1.25905,1.87804,2.10208
2018-07,1,2018-08,ensamble,1.21719,1.07058,0.63839,0.91406,1.53082,1.75498
2018-08,1,2018-09,ensamble,1.31993,1.28028,0.74299,1.01763,1.63216,1.85645
2018-09,1,2018-10,ensamble,1.92287,1.84089,1.34780,1.62141,2.23371,2.45812
2018-10,1,2018-11,ensamble,2.13644,2.16710,1.56323,1.83581,2.44588,2.67041
2018-11,1,2018-12,ensamble,2.28413,2.19252,1.71279,1.98434,2.59217,2.81683
2018-12,1,2019-01,ensamble,2.27152,2.12916,1.70205,1.97257,2.57817,2.80295
2019-01,1,2019-02,ensamble,2.11990,2.00339,1.55229,1.82181,2.42603,2.65005
2019-02,1,2019-03,ensamble,2.05921,2.24744,1.49347,1.76198,2.36482,2.58809
2019-03,1,2019-04,ensamble,2.60280,2.59265,2.03892,2.30644,2.90789,3.13040
2019-04,1,2019-05,ensamble,2.67659,2.72513,2.11459,2.38109,2.98116,3.20292
2019-05,1,2019-06,ensamble,2.53082,2.29478,1.97068,2.23619,2.83487,3.05588
2019-06,1,2019-07,ensamble,2.10794,2.11191,1.54967,1.81418,2.41148,2.63173
2019-07,1,2019-08,ensamble,2.14706,2.03972,1.59066,1.85416,2.45008,2.66958
2019-08,1,2019-09,ensamble,1.95563,1.85101,1.40110,1.66359,2.25813,2.47688
2019-09,1,2019-10,ensamble,1.80435,1.88056,1.25168,1.51317,2.10633,2.32432
2019-10,1,2019-11,ensamble,1.77466,1.86680,1.22386,1.48435,2.07612,2.29335
2019-11,1,2019-12,ensamble,1.88432,1.90009,1.33774,1.59566,2.18486,2.39988
2019-12,1,2020-01,ensamble,1.99433,1.88836,1.45199,1.70733,2.29397,2.50677
2020-01,1,2020-02,ensamble,1.95766,1.90404,1.41955,1.67231,2.25638,2.46698
2020-02,1,2020-03,ensamble,1.70371,1.82153,1.16983,1.42001,2.00151,2.20989
2020-03,1,2020-04,ensamble,1.78846,1.72449,1.25881,1.50642,2.08536,2.29152
2020-04,1,2020-05,ensamble,1.60970,1.78192,1.08428,1.32931,1.90568,2.10963
2020-05,1,2020-06,ensamble,1.98673,1.59873,1.46555,1.70799,2.28180,2.48354
2020-06,1,2020-07,ensamble,1.54194,1.86170,1.02370,1.24990,1.83609,2.03561
2020-07,1,2020-08,ensamble,1.99534,1.68740,1.48116,1.70416,2.29732,2.48588
2020-08,1,2020-09,ensamble,1.74919,1.81955,1.23909,1.45024,2.05065,2.23661
2020-09,1,2020-10,ensamble,1.76438,1.72400,1.25835,1.46629,2.06493,2.24868
2020-10,1,2020-11,ensamble,1.63784,2.14221,1.13588,1.34061,1.93747,2.11900
2020-11,1,2020-12,ensamble,2.22441,1.97323,1.72651,1.92805,2.52950,2.73845
2020-12,1,2021-01,ensamble,2.08708,2.67555,1.59326,1.79159,2.39166,2.60077
2021-01,1,2021-02,ensamble,2.91734,2.40134,2.42759,2.62271,3.23055,3.46787
2021-02,1,2021-03,ensamble,2.33655,2.59818,1.79967,2.03426,2.64844,2.88580
2021-03,1,2021-04,ensamble,2.75760,2.38370,2.22159,2.45614,3.06818,3.30558
2021-04,1,2021-05,ensamble,2.28361,2.44746,1.74846,1.97617,2.59288,2.83031
2021-05,1,2021-06,ensamble,2.91588,3.25461,2.38161,2.60850,3.22384,3.46131
2021-06,1,2021-07,ensamble,3.20723,3.81460,2.67383,2.89992,3.52699,3.75139
2021-07,1,2021-08,ensamble,4.35571,4.95280,3.82318,4.04923,4.67624,4.93428
2021-08,1,2021-09,ensamble,5.29880,5.22957,4.76714,4.99316,5.62964,5.89115
2021-09,1,2021-10,ensamble,5.57060,5.82601,5.03981,5.26580,5.90016,6.16273
2021-10,1,2021-11,ensamble,5.66376,5.65515,5.13384,5.35979,5.99205,6.25568
2021-11,1,2021-12,ensamble,6.08915,6.43039,5.56010,5.78602,6.41616,6.68085
2021-12,1,2022-01,ensamble,6.16795,5.68492,5.63977,5.86565,6.50348,6.75943
2022-01,1,2022-02,ensamble,6.17206,6.14704,5.64474,5.86456,6.50705,6.76332
2022-02,1,2022-03,ensamble,5.99003,6.82409,5.46359,5.68260,6.32450,6.58108
2022-03,1,2022-04,ensamble,7.39013,7.96465,6.86456,7.08276,7.72911,7.99005
2022-04,1,2022-05,ensamble,8.15837,8.09114,7.63367,7.85106,8.49961,8.75804
2022-05,1,2022-06,ensamble,7.94476,8.81263,7.42092,7.63828,8.28574,8.54416
2022-06,1,2022-07,ensamble,8.52693,8.74084,8.00397,8.22129,8.89033,9.16506
2022-07,1,2022-08,ensamble,8.31565,8.39799,7.79356,8.01085,8.67628,8.94994
2022-08,1,2022-09,ensamble,8.44133,8.52985,7.92011,8.13736,8.79918,9.07177
2022-09,1,2022-10,ensamble,8.26818,8.27520,7.74782,7.96504,8.62326,8.89477
2022-10,1,2022-11,ensamble,8.20137,8.44723,7.68189,7.89908,8.55369,8.82412
2022-11,1,2022-12,ensamble,8.08302,8.45916,7.56440,7.78156,8.43256,8.70192
2022-12,1,2023-01,ensamble,8.83594,8.66427,8.31820,8.53532,9.20632,9.45100
2023-01,1,2023-02,ensamble,8.67105,8.64592,8.15418,8.37126,9.04070,9.28226
2023-02,1,2023-03,ensamble,7.84034,8.40057,7.32433,7.54138,8.20927,8.44770
2023-03,1,2023-04,ensamble,7.75258,7.96505,7.23741,7.45450,8.12801,8.35969
2023-04,1,2023-05,ensamble,7.84195,7.89389,7.32760,7.54473,8.21666,8.44881
2023-05,1,2023-06,ensamble,6.92257,6.46150,6.40904,6.62621,7.29655,7.52916
2023-06,1,2023-07,ensamble,5.78233,5.88160,5.26962,5.47836,6.15559,6.38866
2023-07,1,2023-08,ensamble,5.44745,5.57615,4.93557,5.14432,5.81999,6.05353
2023-08,1,2023-09,ensamble,5.24735,5.04455,4.73630,4.94506,5.61917,5.85318
2023-09,1,2023-10,ensamble,4.80345,4.34308,4.29322,4.50199,5.17455,5.40902
2023-10,1,2023-11,ensamble,3.83676,3.63647,3.32735,3.52932,4.20713,4.44207
2023-11,1,2023-12,ensamble,2.99846,3.23738,2.48988,2.69109,3.36812,3.60352
2023-12,1,2024-01,ensamble,3.18805,3.02392,2.68029,2.88074,3.55698,3.79285
2024-01,1,2024-02,ensamble,2.87791,3.29407,2.37097,2.57143,3.24407,3.48245
2024-02,1,2024-03,ensamble,2.76116,3.04505,2.25505,2.45552,3.13587,3.36545
2024-03,1,2024-04,ensamble,2.76675,2.42208,2.26147,2.46195,3.14074,3.37078
2024-04,1,2024-05,ensamble,2.19844,2.00494,1.69398,1.89075,2.57170,2.80221
2024-05,1,2024-06,ensamble,2.29299,2.28538,1.78935,1.98536,2.66553,2.89650
2024-06,1,2024-07,ensamble,2.23354,2.12766,1.73073,1.92598,2.60536,2.83680
2024-07,1,2024-08,ensamble,1.98713,2.03410,1.48514,1.67963,2.35823,2.59013
2024-08,1,2024-09,ensamble,2.17041,1.77501,1.66924,1.86297,2.54078,2.77315
2024-09,1,2024-10,ensamble,2.09077,2.00918,1.59043,1.77993,2.46043,2.69326
2024-10,1,2024-11,ensamble,2.19474,2.27199,1.69523,1.88680,2.56368,2.79697
2024-11,1,2024-12,ensamble,2.10171,1.96630,1.60302,1.79384,2.46788,2.70369
2024-12,1,2025-01,ensamble,2.06558,1.85158,1.56772,1.75777,2.42898,2.66730
2025-01,1,2025-02,ensamble,1.44931,1.47733,0.95226,1.14156,1.80993,2.05077
2025-02,1,2025-03,ensamble,1.11606,1.27718,0.61984,0.80837,1.47391,1.71726
2025-03,1,2025-04,ensamble,1.50780,1.65183,1.01240,1.20017,1.86288,2.10874
2025-04,1,2025-05,ensamble,1.85707,1.68666,1.36250,1.54951,2.20938,2.45776
2025-05,1,2025-06,ensamble,1.63976,1.69371,1.14601,1.33226,1.98930,2.24019
2025-06,1,2025-07,ensamble,1.74825,1.68880,1.25533,1.44081,2.09502,2.34843
2025-07,1,2025-08,ensamble,1.58439,1.10633,1.09230,1.27702,1.92840,2.18431
2025-08,1,2025-09,ensamble,1.32415,1.35839,0.83288,1.01621,1.66538,1.92381
2025-09,1,2025-10,ensamble,1.45071,1.35177,0.96026,1.14283,1.79169,2.05011
2025-10,1,2025-11,ensamble,1.24307,1.36861,0.75345,0.93526,1.58381,1.84222
2025-11,1,2025-12,ensamble,1.45867,1.50880,0.96987,1.15092,1.79915,2.05756
2025-12,1,2026-01,ensamble,1.68744,1.70092,1.19946,1.37975,2.02767,2.28607
2026-01,1,2026-02,ensamble,1.66124,2.21417,1.17408,1.35361,2.00122,2.25961
2026-02,1,2026-03,ensamble,2.13729,3.80455,1.65097,1.82973,2.48961,2.73542
2026-03,1,2026-04,ensamble,4.15306,4.01414,3.66756,3.84556,4.52416,4.77196
2026-04,1,2026-05,ensamble,4.44616,3.90505,3.96148,4.13872,4.81654,5.06122
2026-05,1,2026-06,ensamble,4.03682,4.00891,3.52019,3.72598,4.40648,4.64803
2026-06,1,2026-07,ensamble,4.20672,4.06515,3.69072,3.89878,4.57566,4.81409
2026-07,1,2026-08,ensamble,4.64889,4.43781,4.13371,4.34102,5.01506,5.25600
2026-08,1,2026-09,ensamble,4.57756,,4.06320,4.26974,4.94095,5.18441
2015-02,2,2015-04,ensamble,2.59482,3.01741,2.20015,2.27661,3.16499,3.26424
2015-03,2,2015-05,ensamble,2.85826,3.36620,2.46367,2.54128,3.42318,3.52498
2015-04,2,2015-06,ensamble,3.05481,3.54491,2.66029,2.73905,3.61447,3.71882
2015-05,2,2015-07,ensamble,3.46424,3.56292,3.06980,3.14970,4.01864,4.12553
2015-06,2,2015-08,ensamble,3.82135,4.04267,3.42699,3.50803,4.37050,4.47994
2015-07,2,2015-09,ensamble,4.10665,3.90456,3.71236,3.79455,4.65054,4.76253
2015-08,2,2015-10,ensamble,4.04836,3.66020,3.65414,3.73749,4.58699,4.70153
2015-09,2,2015-11,ensamble,3.88266,4.17257,3.48852,3.57301,4.41604,4.53312
2015-10,2,2015-12,ensamble,3.79046,4.39793,3.39639,3.46981,4.32129,4.43821
2015-11,2,2016-01,ensamble,4.19703,4.60869,3.80304,3.87761,4.72532,4.84207
2015-12,2,2016-02,ensamble,4.50704,4.47376,4.11313,4.18884,5.07722,5.14937
2016-01,2,2016-03,ensamble,4.44190,4.30108,4.04805,4.12491,5.00681,5.08151
2016-02,2,2016-04,ensamble,4.11978,3.90721,3.72600,3.80401,4.67943,4.75668
2016-03,2,2016-05,ensamble,3.76829,3.54062,3.37459,3.45375,4.32269,4.40248
2016-04,2,2016-06,ensamble,3.26760,3.34162,2.87398,2.95428,3.81675,3.89909
2016-05,2,2016-07,ensamble,3.10813,2.96196,2.71458,2.79603,3.65201,3.73690
2016-06,2,2016-08,ensamble,2.81374,2.94253,2.42027,2.50286,3.35237,3.43981
2016-07,2,2016-09,ensamble,2.74298,3.12667,2.34958,2.43333,3.27636,3.36634
2016-08,2,2016-10,ensamble,2.95247,3.40529,2.55921,2.65102,3.48331,3.57543
2016-09,2,2016-11,ensamble,2.69345,3.34963,2.30031,2.40019,3.22174,3.31601
2016-10,2,2016-12,ensamble,2.87565,3.23488,2.48265,2.59060,3.40140,3.49782
2016-11,2,2017-01,ensamble,2.97819,3.09636,2.58532,2.70133,3.54311,3.63109
2016-12,2,2017-02,ensamble,3.19684,3.24979,2.80410,2.92818,3.75650,3.84892
2017-01,2,2017-03,ensamble,3.11810,3.97485,2.72548,2.85763,3.67250,3.76935
2017-02,2,2017-04,ensamble,3.40973,3.69472,3.01725,3.15747,3.95888,4.06017
2017-03,2,2017-05,ensamble,4.40604,3.03980,4.01369,4.16198,4.99629,5.12269
2017-04,2,2017-06,ensamble,3.61106,2.73244,3.21884,3.37519,4.19915,4.32581
2017-05,2,2017-07,ensamble,3.20116,2.85207,2.80552,2.89150,3.78710,3.91402
